,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,nm,x,y
83034,파워큐브,금호어울림아파트,02,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 금령로13번길 13,24시간 이용가능,거주자외 출입제한,,,경기 용인시 처인구 김량장동 526,127.197790934347,37.2366019643714
83035,파워큐브,금호어울림아파트,03,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 금령로13번길 13,24시간 이용가능,거주자외 출입제한,,,경기 용인시 처인구 김량장동 526,127.197790934347,37.2366019643714
83036,파워큐브,금호어울림아파트,04,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 금령로13번길 13,24시간 이용가능,거주자외 출입제한,,,경기 용인시 처인구 김량장동 526,127.197790934347,37.2366019643714
83037,파워큐브,금호어울림아파트,05,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 금령로13번길 13,24시간 이용가능,거주자외 출입제한,,,경기 용인시 처인구 김량장동 526,127.197790934347,37.2366019643714
83038,파워큐브,금호어울림아파트,06,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 금령로13번길 13,24시간 이용가능,거주자외 출입제한,,,경기 용인시 처인구 김량장동 526,127.197790934347,37.2366019643714
83039,파워큐브,금호어울림아파트,07,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 금령로13번길 13,24시간 이용가능,거주자외 출입제한,,,경기 용인시 처인구 김량장동 526,127.197790934347,37.2366019643714
83053,파워큐브,기흥역롯데캐슬레이시티-A동,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 기흥역로 9A동 BF4,24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 기흥구 구갈동 657,127.115337289593,37.2748218442608
83054,파워큐브,기흥역롯데캐슬레이시티-A동,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 기흥역로 9A동 BF4,24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 기흥구 구갈동 657,127.115337289593,37.2748218442608
83055,파워큐브,기흥역롯데캐슬레이시티-A동,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 기흥역로 9A동 BF4,24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 기흥구 구갈동 657,127.115337289593,37.2748218442608
83056,파워큐브,기흥역롯데캐슬레이시티-B동,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 기흥역로 9B동 BF4,24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 기흥구 구갈동 657,127.115337289593,37.2748218442608
83057,파워큐브,기흥역롯데캐슬레이시티-B동,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 기흥역로 9B동 BF4,24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 기흥구 구갈동 657,127.115337289593,37.2748218442608
83058,파워큐브,기흥역롯데캐슬레이시티-B동,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 기흥역로 9B동 BF4,24시간 이용가능,거주자외 출입제한,7kW,,경기 용인시 기흥구 구갈동 657,127.115337289593,37.2748218442608
83059,파워큐브,기흥역롯데캐슬레이시티오피스텔관리단,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 기흥역로 9,24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 구갈동 657,127.115337289593,37.2748218442608
83060,파워큐브,기흥역롯데캐슬레이시티오피스텔관리단,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 기흥역로 9,24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 구갈동 657,127.115337289593,37.2748218442608
83061,파워큐브,기흥힉스유타워아파트 입주자대표회의,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 중부대로 184(1315 힉스유타워),24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 영덕동 1315,127.090689370086,37.2691613298833
83062,파워큐브,기흥힉스유타워아파트 입주자대표회의,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 중부대로 184(1315 힉스유타워),24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 영덕동 1315,127.090689370086,37.2691613298833
83063,파워큐브,기흥힉스유타워아파트 입주자대표회의,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 중부대로 184(1315 힉스유타워),24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 영덕동 1315,127.090689370086,37.2691613298833
83064,파워큐브,기흥힉스유타워아파트 입주자대표회의,04,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 중부대로 184(1315 힉스유타워),24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 영덕동 1315,127.090689370086,37.2691613298833
83065,파워큐브,기흥힉스유타워아파트 입주자대표회의,05,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 중부대로 184(1315 힉스유타워),24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 영덕동 1315,127.090689370086,37.2691613298833
83183,파워큐브,꽃메마을아이파크2차아파트입주자대표회의,01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 121(1307 꽃메마을아이파크),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 죽전동 1307,127.12030510085,37.3236619856559
83184,파워큐브,꽃메마을아이파크2차아파트입주자대표회의,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 121(1307 꽃메마을아이파크),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 죽전동 1307,127.12030510085,37.3236619856559
83185,파워큐브,꽃메마을아이파크2차아파트입주자대표회의,03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 121(1307 꽃메마을아이파크),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 죽전동 1307,127.12030510085,37.3236619856559
83186,파워큐브,꽃메마을아이파크2차아파트입주자대표회의,04,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 121(1307 꽃메마을아이파크),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 죽전동 1307,127.12030510085,37.3236619856559
83187,파워큐브,꽃메마을아이파크2차아파트입주자대표회의,05,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 121(1307 꽃메마을아이파크),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 죽전동 1307,127.12030510085,37.3236619856559
83188,파워큐브,꽃메마을현대4차3단지,01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 87(1304 꽃메마을현대홈타운),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 수지구 죽전동 1304,127.118073716176,37.3226931003233
83189,파워큐브,꽃메마을현대4차3단지,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 87(1304 꽃메마을현대홈타운),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 수지구 죽전동 1304,127.118073716176,37.3226931003233
83190,파워큐브,꽃메마을현대4차3단지,03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 87(1304 꽃메마을현대홈타운),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 수지구 죽전동 1304,127.118073716176,37.3226931003233
83191,파워큐브,꽃메마을현대4차3단지,04,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 87(1304 꽃메마을현대홈타운),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 수지구 죽전동 1304,127.118073716176,37.3226931003233
83192,파워큐브,꽃메마을현대4차3단지,05,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 87(1304 꽃메마을현대홈타운),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 수지구 죽전동 1304,127.118073716176,37.3226931003233
83193,파워큐브,꽃메마을현대4차3단지,06,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 87(1304 꽃메마을현대홈타운),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 수지구 죽전동 1304,127.118073716176,37.3226931003233
83194,파워큐브,꽃메마을현대4차3단지,07,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 87(1304 꽃메마을현대홈타운),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 수지구 죽전동 1304,127.118073716176,37.3226931003233
83195,파워큐브,꽃메마을현대4차3단지,08,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 87(1304 꽃메마을현대홈타운),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 수지구 죽전동 1304,127.118073716176,37.3226931003233
83196,파워큐브,꽃메마을현대4차3단지,09,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 87(1304 꽃메마을현대홈타운),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 수지구 죽전동 1304,127.118073716176,37.3226931003233
83197,파워큐브,꽃메마을현대4차3단지,10,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 87(1304 꽃메마을현대홈타운),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 수지구 죽전동 1304,127.118073716176,37.3226931003233
83198,파워큐브,꽃메마을현대4차3단지,11,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 87(1304 꽃메마을현대홈타운),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 수지구 죽전동 1304,127.118073716176,37.3226931003233
83199,파워큐브,꽃메마을현대4차3단지,12,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 87(1304 꽃메마을현대홈타운),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 수지구 죽전동 1304,127.118073716176,37.3226931003233
83200,파워큐브,꽃메마을현대4차3단지,13,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 87(1304 꽃메마을현대홈타운),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 수지구 죽전동 1304,127.118073716176,37.3226931003233
83201,파워큐브,꽃메마을현대4차3단지,14,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전로 87(1304 꽃메마을현대홈타운),24시간 이용가능,거주자외 출입제한,3kW,,경기 용인시 수지구 죽전동 1304,127.118073716176,37.3226931003233
85039,파워큐브,대원칸타빌아파트,01,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 동백2로 37,24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 중동 958,127.15709471939,37.2697295041552
85040,파워큐브,대원칸타빌아파트,02,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 동백2로 37,24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 중동 958,127.15709471939,37.2697295041552
85041,파워큐브,대원칸타빌아파트,03,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 동백2로 37,24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 중동 958,127.15709471939,37.2697295041552
85042,파워큐브,대원칸타빌아파트,04,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 동백2로 37,24시간 이용가능,거주자외 출입제한,,,경기 용인시 기흥구 중동 958,127.15709471939,37.2697295041552
85476,파워큐브,도담마을7단지뜨리에체아파트입주자대표회의,01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 푸른솔로 49(414 도담마을7단지뜨리에체아파트),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 죽전동 414,127.1150844626,37.3247649963642
85477,파워큐브,도담마을7단지뜨리에체아파트입주자대표회의,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 푸른솔로 49(414 도담마을7단지뜨리에체아파트),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 죽전동 414,127.1150844626,37.3247649963642
85478,파워큐브,도담마을7단지뜨리에체아파트입주자대표회의,03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 푸른솔로 49(414 도담마을7단지뜨리에체아파트),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 죽전동 414,127.1150844626,37.3247649963642
85479,파워큐브,도담마을7단지뜨리에체아파트입주자대표회의,04,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 푸른솔로 49(414 도담마을7단지뜨리에체아파트),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 죽전동 414,127.1150844626,37.3247649963642
85480,파워큐브,도담마을7단지뜨리에체아파트입주자대표회의,05,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 푸른솔로 49(414 도담마을7단지뜨리에체아파트),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 죽전동 414,127.1150844626,37.3247649963642
85481,파워큐브,도담마을휴먼빌아파트 입주자대표회의,01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 대지로 77(휴먼빌 아파트),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 죽전동 1483,127.117644579167,37.3300300919113
85482,파워큐브,도담마을휴먼빌아파트 입주자대표회의,02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 대지로 77(휴먼빌 아파트),24시간 이용가능,거주자외 출입제한,,,경기 용인시 수지구 죽전동 1483,127.117644579167,37.3300300919113
